variable,mean,count,msoa
autonomy_score,18.11764705882353,17.0,North Devon 001
life_satisfaction_score,6.0,27.0,North Devon 001
optimism_score,12.4,30.0,North Devon 001
wellbeing_score,23.058823529411764,17.0,North Devon 001
esteem_score,11.722222222222221,18.0,North Devon 001
stress_score,7.458333333333333,24.0,North Devon 001
appearance_score,4.066666666666666,30.0,North Devon 001
negative_score,10.363636363636363,22.0,North Devon 001
lonely_score,2.466666666666667,30.0,North Devon 001
support_score,4.769230769230769,26.0,North Devon 001
sleep_score,0.38461538461538464,26.0,North Devon 001
physical_score,238.88888888888889,27.0,North Devon 001
free_like_score,3.0714285714285716,28.0,North Devon 001
media_score,3.3666666666666667,30.0,North Devon 001
places_score,2.5517241379310347,29.0,North Devon 001
staff_talk_score,2.63,25.0,North Devon 001
home_talk_score,2.451923076923077,26.0,North Devon 001
peer_talk_score,2.4134615384615383,26.0,North Devon 001
talk_score,7.1125,20.0,North Devon 001
accept_score,10.583333333333334,24.0,North Devon 001
school_belong_score,3.0714285714285716,28.0,North Devon 001
staff_relationship_score,11.961538461538462,26.0,North Devon 001
home_relationship_score,11.391304347826088,23.0,North Devon 001
home_happy_score,4.035714285714286,28.0,North Devon 001
local_env_score,14.203703703703702,18.0,North Devon 001
discrim_score,1.0,30.0,North Devon 001
belong_local_score,2.7,30.0,North Devon 001
wealth_score,0.38095238095238093,21.0,North Devon 001
future_score,NULL,NULL,North Devon 001
climate_score,2.566666666666667,30.0,North Devon 001
social_score,12.0,17.0,North Devon 001
bully_score,8.03448275862069,29.0,North Devon 001
autonomy_score,18.65,20.0,North Devon 002
life_satisfaction_score,5.3,30.0,North Devon 002
optimism_score,11.580645161290322,31.0,North Devon 002
wellbeing_score,20.291666666666668,24.0,North Devon 002
esteem_score,12.55,20.0,North Devon 002
stress_score,7.592592592592593,27.0,North Devon 002
appearance_score,4.827586206896552,29.0,North Devon 002
negative_score,10.785714285714286,14.0,North Devon 002
lonely_score,3.375,32.0,North Devon 002
support_score,4.379310344827586,29.0,North Devon 002
sleep_score,0.3333333333333333,27.0,North Devon 002
physical_score,297.85714285714283,28.0,North Devon 002
free_like_score,3.225806451612903,31.0,North Devon 002
media_score,3.4375,32.0,North Devon 002
places_score,2.3,30.0,North Devon 002
staff_talk_score,2.519230769230769,26.0,North Devon 002
home_talk_score,2.4166666666666665,27.0,North Devon 002
peer_talk_score,2.2222222222222223,27.0,North Devon 002
talk_score,6.881578947368421,19.0,North Devon 002
accept_score,9.555555555555555,27.0,North Devon 002
school_belong_score,2.9285714285714284,28.0,North Devon 002
staff_relationship_score,12.433333333333334,30.0,North Devon 002
home_relationship_score,12.521739130434783,23.0,North Devon 002
home_happy_score,5.366666666666666,30.0,North Devon 002
local_env_score,14.083333333333329,20.0,North Devon 002
discrim_score,1.0625,32.0,North Devon 002
belong_local_score,2.466666666666667,30.0,North Devon 002
wealth_score,0.5263157894736842,19.0,North Devon 002
future_score,6.208333333333333,12.0,North Devon 002
climate_score,2.870967741935484,31.0,North Devon 002
social_score,12.047619047619047,21.0,North Devon 002
bully_score,7.0,30.0,North Devon 002
autonomy_score,15.75,20.0,North Devon 003
life_satisfaction_score,4.823529411764706,34.0,North Devon 003
optimism_score,12.13888888888889,36.0,North Devon 003
wellbeing_score,19.333333333333332,24.0,North Devon 003
esteem_score,12.36,25.0,North Devon 003
stress_score,7.166666666666667,24.0,North Devon 003
appearance_score,5.4411764705882355,34.0,North Devon 003
negative_score,9.26086956521739,23.0,North Devon 003
lonely_score,3.3684210526315788,38.0,North Devon 003
support_score,4.914285714285715,35.0,North Devon 003
sleep_score,0.5263157894736842,38.0,North Devon 003
physical_score,213.10344827586206,29.0,North Devon 003
free_like_score,3.026315789473684,38.0,North Devon 003
media_score,3.3684210526315788,38.0,North Devon 003
places_score,2.4722222222222223,36.0,North Devon 003
staff_talk_score,2.189655172413793,29.0,North Devon 003
home_talk_score,2.772727272727273,33.0,North Devon 003
peer_talk_score,2.8161764705882355,34.0,North Devon 003
talk_score,7.916666666666667,21.0,North Devon 003
accept_score,10.666666666666666,33.0,North Devon 003
school_belong_score,3.1142857142857143,35.0,North Devon 003
staff_relationship_score,11.970588235294118,34.0,North Devon 003
home_relationship_score,11.714285714285714,28.0,North Devon 003
home_happy_score,5.828571428571428,35.0,North Devon 003
local_env_score,14.787878787878782,22.0,North Devon 003
discrim_score,1.0263157894736843,38.0,North Devon 003
belong_local_score,2.4411764705882355,34.0,North Devon 003
wealth_score,0.42857142857142855,28.0,North Devon 003
future_score,7.088235294117647,17.0,North Devon 003
climate_score,2.361111111111111,36.0,North Devon 003
social_score,11.916666666666666,24.0,North Devon 003
bully_score,8.142857142857142,35.0,North Devon 003
autonomy_score,18.285714285714285,14.0,North Devon 004
life_satisfaction_score,5.9,20.0,North Devon 004
optimism_score,11.4,20.0,North Devon 004
wellbeing_score,20.833333333333332,18.0,North Devon 004
esteem_score,12.705882352941176,17.0,North Devon 004
stress_score,8.444444444444445,18.0,North Devon 004
appearance_score,5.277777777777778,18.0,North Devon 004
negative_score,10.076923076923077,13.0,North Devon 004
lonely_score,3.130434782608696,23.0,North Devon 004
support_score,5.318181818181818,22.0,North Devon 004
sleep_score,0.5652173913043478,23.0,North Devon 004
physical_score,282.85714285714283,21.0,North Devon 004
free_like_score,3.272727272727273,22.0,North Devon 004
media_score,5.043478260869565,23.0,North Devon 004
places_score,2.6818181818181817,22.0,North Devon 004
staff_talk_score,2.5526315789473686,19.0,North Devon 004
home_talk_score,2.4875,20.0,North Devon 004
peer_talk_score,2.4444444444444446,18.0,North Devon 004
talk_score,7.9375,12.0,North Devon 004
accept_score,9.9,20.0,North Devon 004
school_belong_score,3.0869565217391304,23.0,North Devon 004
staff_relationship_score,12.45,20.0,North Devon 004
home_relationship_score,12.625,16.0,North Devon 004
home_happy_score,6.111111111111111,18.0,North Devon 004
local_env_score,15.636363636363626,11.0,North Devon 004
discrim_score,1.0,23.0,North Devon 004
belong_local_score,1.9,20.0,North Devon 004
wealth_score,0.3333333333333333,15.0,North Devon 004
future_score,7.45,10.0,North Devon 004
climate_score,2.8636363636363638,22.0,North Devon 004
social_score,12.23076923076923,13.0,North Devon 004
bully_score,6.666666666666667,21.0,North Devon 004
autonomy_score,17.0,24.0,North Devon 005
life_satisfaction_score,4.828571428571428,35.0,North Devon 005
optimism_score,12.15625,32.0,North Devon 005
wellbeing_score,21.095238095238095,21.0,North Devon 005
esteem_score,13.157894736842104,19.0,North Devon 005
stress_score,7.870967741935484,31.0,North Devon 005
appearance_score,4.666666666666667,33.0,North Devon 005
negative_score,10.222222222222221,18.0,North Devon 005
lonely_score,3.27027027027027,37.0,North Devon 005
support_score,5.03030303030303,33.0,North Devon 005
sleep_score,0.4722222222222222,36.0,North Devon 005
physical_score,213.63636363636363,33.0,North Devon 005
free_like_score,2.7777777777777777,36.0,North Devon 005
media_score,4.162162162162162,37.0,North Devon 005
places_score,2.3333333333333335,36.0,North Devon 005
staff_talk_score,2.448529411764706,34.0,North Devon 005
home_talk_score,2.6666666666666665,33.0,North Devon 005
peer_talk_score,2.537878787878788,33.0,North Devon 005
talk_score,7.953703703703703,27.0,North Devon 005
accept_score,9.814814814814815,27.0,North Devon 005
school_belong_score,2.7222222222222223,36.0,North Devon 005
staff_relationship_score,12.151515151515152,33.0,North Devon 005
home_relationship_score,12.48,25.0,North Devon 005
home_happy_score,5.088235294117647,34.0,North Devon 005
local_env_score,14.98039215686274,17.0,North Devon 005
discrim_score,1.0,37.0,North Devon 005
belong_local_score,2.6129032258064515,31.0,North Devon 005
wealth_score,0.391304347826087,23.0,North Devon 005
future_score,6.954545454545454,11.0,North Devon 005
climate_score,2.6285714285714286,35.0,North Devon 005
social_score,11.478260869565217,23.0,North Devon 005
