variable,mean,count,msoa,total_pupils,group_n,group_wt_mean,group_wt_std,lower,upper,rag,variable_lab,description
autonomy_score,18.4375,16.0,North Devon 001,426.0,20.0,17.85211267605634,0.7240076318941591,17.12810504416218,18.5761203079505,average,Autonomy,"
How 'in control' young people feel of their life"
life_satisfaction_score,6.041666666666667,24.0,North Devon 001,617.0,20.0,4.946515397082658,0.47982855277608544,4.466686844306572,5.426343949858744,above,Life satisfaction,"
How satisfied young people feel with their life"
optimism_score,12.307692307692308,26.0,North Devon 001,622.0,20.0,12.069131832797428,0.44645863215727216,11.622673200640156,12.5155904649547,average,Optimism,"
Young people's hopefulness and confidence for the future"
wellbeing_score,23.23076923076923,13.0,North Devon 001,466.0,20.0,21.006437768240342,0.939871527800999,20.066566240439343,21.946309296041342,above,Psychological wellbeing,"
How positive and generally happy young people feel regarding their life"
esteem_score,11.764705882352942,17.0,North Devon 001,391.0,19.0,12.741687979539641,0.5879381239360536,12.153749855603587,13.329626103475695,below,Self-esteem,"
How much young people value themselves"
stress_score,7.590909090909091,22.0,North Devon 001,539.0,20.0,7.836734693877551,0.5523650392820009,7.28436965459555,8.389099733159552,average,Stress and coping,"
Managing stress levels and coping with difficulties"
appearance_score,4.230769230769231,26.0,North Devon 001,622.0,20.0,4.963022508038585,0.5967010225969469,4.366321485441638,5.559723530635532,below,Feelings around appearance,"
Young people's feelings around the way that they look"
negative_score,10.421052631578947,19.0,North Devon 001,385.0,20.0,9.774025974025975,0.5763487880119827,9.197677186013992,10.350374762037957,above,Negative affect,"
The frequency with which young people experience emotional difficulties"
lonely_score,2.5,26.0,North Devon 001,669.0,20.0,3.0642750373692076,0.30486940665176476,2.759405630717443,3.3691444440209724,below,Loneliness,"
How often young people feel lonely"
support_score,4.7727272727272725,22.0,North Devon 001,622.0,20.0,4.863344051446945,0.2824933524489921,4.580850698997953,5.145837403895937,average,Supporting own wellbeing,"
Young people's knowledge on supporting themselves and looking for advice"
sleep_score,0.391304347826087,23.0,North Devon 001,644.0,20.0,0.4953416149068323,0.09882037305158985,0.39652124185524246,0.5941619879584221,below,Sleep,"
How much sleep young people get"
physical_score,206.08695652173913,23.0,North Devon 001,582.0,20.0,245.0,38.13479378364181,206.8652062163582,283.13479378364184,below,Physical activity,"
How physically active young people are"
free_like_score,2.9583333333333335,24.0,North Devon 001,653.0,20.0,3.0168453292496173,0.25103186372647596,2.7658134655231414,3.2678771929760932,average,Free time,"
How often young people can do things that they like in their free time"
media_score,3.1538461538461537,26.0,North Devon 001,673.0,20.0,4.078751857355126,0.5014300921162455,3.5773217652388807,4.580181949471371,below,Social media use,"
How much time young people spend on social media"
places_score,2.52,25.0,North Devon 001,664.0,20.0,2.483433734939759,0.16687277202675707,2.316560962913002,2.650306506966516,average,Places to go and things to do,"
Whether young people feel there are places to go and things to do in their
free time"
staff_talk_score,2.727272727272727,22.0,North Devon 001,562.0,20.0,2.4813167259786475,0.1957423260099232,2.2855743999687244,2.6770590519885706,above,NULL,NULL
home_talk_score,2.2934782608695654,23.0,North Devon 001,585.0,20.0,2.5547008547008545,0.14688774811201868,2.407813106588836,2.701588602812873,below,NULL,NULL
peer_talk_score,2.397727272727273,22.0,North Devon 001,602.0,20.0,2.5336378737541527,0.20968759244042917,2.3239502813137234,2.743325466194582,average,NULL,NULL
talk_score,6.852941176470588,17.0,North Devon 001,428.0,20.0,7.533878504672897,0.4005224423593017,7.133356062313595,7.934400947032199,below,Talking about feelings,"
How positively/negatively young people feel about talking with others about
feeling down"
accept_score,10.45,20.0,North Devon 001,582.0,20.0,10.082474226804123,0.4186347178635218,9.663839508940601,10.501108944667646,average,Acceptance,"
Whether young people feel accepted by different groups of people in their
life"
school_belong_score,3.12,25.0,North Devon 001,599.0,20.0,2.954924874791319,0.1983886196098084,2.7565362551815107,3.1533134944011274,average,School connection,"
Feelings of belonging at school"
staff_relationship_score,12.090909090909092,22.0,North Devon 001,575.0,20.0,12.027826086956521,0.5570880606232873,11.470738026333233,12.58491414757981,average,Support from staff,"
The support received from adults at school"
home_relationship_score,11.052631578947368,19.0,North Devon 001,515.0,20.0,12.062135922330096,0.7690831882903442,11.293052734039753,12.83121911062044,below,Support from parents/carers,"
The support received from adults at home"
home_happy_score,4.083333333333333,24.0,North Devon 001,604.0,20.0,4.940397350993377,0.7549267302738673,4.18547062071951,5.695324081267245,below,Home environment,"
Young people's feelings regarding the home that they live in"
local_env_score,14.26190476190476,14.0,North Devon 001,355.0,20.0,14.885446009389671,0.7627055365027211,14.12274047288695,15.648151545892393,average,Local environment,"
How young people feel regarding the area where they live"
discrim_score,1.0,26.0,North Devon 001,678.0,20.0,1.0147492625368733,0.020541714106175567,0.9942075484306977,1.035290976643049,average,Discrimination,"
Whether young people feel discriminated against"
belong_local_score,2.6923076923076925,26.0,North Devon 001,625.0,20.0,2.3456,0.19026053738039997,2.1553394626196,2.5358605373804,above,Local connection,"
Young people's feelings of belonging in their local area"
wealth_score,0.3684210526315789,19.0,North Devon 001,476.0,20.0,0.35714285714285715,0.07913462942572096,0.2780082277171362,0.4362774865685781,average,Relative wealth,"
Whether young people feel their family is richer, poorer or the same as their
friends"
future_score,NULL,NULL,North Devon 001,222.0,15.0,7.506756756756757,0.5563465223681503,6.950410234388607,8.063103279124908,nan,Future opportunities,"
How young people feel regarding the future options for work, education or
training in their local area"
climate_score,2.5384615384615383,26.0,North Devon 001,655.0,20.0,2.4885496183206106,0.17827857312780837,2.310271045192802,2.666828191448419,average,Climate change,"
Worries regarding climate change"
social_score,12.133333333333333,15.0,North Devon 001,441.0,20.0,11.884353741496598,0.4692186420598787,11.41513509943672,12.353572383556477,average,Support from friends,"
The support young people receive from their peers"
bully_score,8.12,25.0,North Devon 001,643.0,20.0,7.514774494556765,0.3209338895886501,7.193840604968115,7.835708384145415,above,Bullying,"
The frequency with which young people experience different types of bullying"
autonomy_score,18.80952380952381,21.0,North Devon 002,426.0,20.0,17.85211267605634,0.7240076318941591,17.12810504416218,18.5761203079505,above,Autonomy,"
How 'in control' young people feel of their life"
life_satisfaction_score,5.3125,32.0,North Devon 002,617.0,20.0,4.946515397082658,0.47982855277608544,4.466686844306572,5.426343949858744,average,Life satisfaction,"
How satisfied young people feel with their life"
optimism_score,11.666666666666666,33.0,North Devon 002,622.0,20.0,12.069131832797428,0.44645863215727216,11.622673200640156,12.5155904649547,average,Optimism,"
Young people's hopefulness and confidence for the future"
wellbeing_score,20.291666666666668,24.0,North Devon 002,466.0,20.0,21.006437768240342,0.939871527800999,20.066566240439343,21.946309296041342,average,Psychological wellbeing,"
How positive and generally happy young people feel regarding their life"
esteem_score,12.428571428571429,21.0,North Devon 002,391.0,19.0,12.741687979539641,0.5879381239360536,12.153749855603587,13.329626103475695,average,Self-esteem,"
How much young people value themselves"
stress_score,7.689655172413793,29.0,North Devon 002,539.0,20.0,7.836734693877551,0.5523650392820009,7.28436965459555,8.389099733159552,average,Stress and coping,"
Managing stress levels and coping with difficulties"
appearance_score,4.766666666666667,30.0,North Devon 002,622.0,20.0,4.963022508038585,0.5967010225969469,4.366321485441638,5.559723530635532,average,Feelings around appearance,"
Young people's feelings around the way that they look"
negative_score,10.25,16.0,North Devon 002,385.0,20.0,9.774025974025975,0.5763487880119827,9.197677186013992,10.350374762037957,average,Negative affect,"
The frequency with which young people experience emotional difficulties"
lonely_score,3.3823529411764706,34.0,North Devon 002,669.0,20.0,3.0642750373692076,0.30486940665176476,2.759405630717443,3.3691444440209724,above,Loneliness,"
How often young people feel lonely"
support_score,4.354838709677419,31.0,North Devon 002,622.0,20.0,4.863344051446945,0.2824933524489921,4.580850698997953,5.145837403895937,below,Supporting own wellbeing,"
Young people's knowledge on supporting themselves and looking for advice"
sleep_score,0.3103448275862069,29.0,North Devon 002,644.0,20.0,0.4953416149068323,0.09882037305158985,0.39652124185524246,0.5941619879584221,below,Sleep,"
How much sleep young people get"
physical_score,287.58620689655174,29.0,North Devon 002,582.0,20.0,245.0,38.13479378364181,206.8652062163582,283.13479378364184,above,Physical activity,"
How physically active young people are"
free_like_score,3.090909090909091,33.0,North Devon 002,653.0,20.0,3.0168453292496173,0.25103186372647596,2.7658134655231414,3.2678771929760932,average,Free time,"
How often young people can do things that they like in their free time"
media_score,3.4411764705882355,34.0,North Devon 002,673.0,20.0,4.078751857355126,0.5014300921162455,3.5773217652388807,4.580181949471371,below,Social media use,"
How much time young people spend on social media"
places_score,2.40625,32.0,North Devon 002,664.0,20.0,2.483433734939759,0.16687277202675707,2.316560962913002,2.650306506966516,average,Places to go and things to do,"
Whether young people feel there are places to go and things to do in their
free time"
staff_talk_score,2.4464285714285716,28.0,North Devon 002,562.0,20.0,2.4813167259786475,0.1957423260099232,2.2855743999687244,2.6770590519885706,average,NULL,NULL
home_talk_score,2.4051724137931036,29.0,North Devon 002,585.0,20.0,2.5547008547008545,0.14688774811201868,2.407813106588836,2.701588602812873,below,NULL,NULL
peer_talk_score,2.293103448275862,29.0,North Devon 002,602.0,20.0,2.5336378737541527,0.20968759244042917,2.3239502813137234,2.743325466194582,below,NULL,NULL
talk_score,6.892857142857143,21.0,North Devon 002,428.0,20.0,7.533878504672897,0.4005224423593017,7.133356062313595,7.934400947032199,below,Talking about feelings,"
How positively/negatively young people feel about talking with others about
feeling down"
accept_score,9.517241379310345,29.0,North Devon 002,582.0,20.0,10.082474226804123,0.4186347178635218,9.663839508940601,10.501108944667646,below,Acceptance,"
Whether young people feel accepted by different groups of people in their
life"
school_belong_score,2.8,30.0,North Devon 002,599.0,20.0,2.954924874791319,0.1983886196098084,2.7565362551815107,3.1533134944011274,average,School connection,"
Feelings of belonging at school"
staff_relationship_score,12.193548387096774,31.0,North Devon 002,575.0,20.0,12.027826086956521,0.5570880606232873,11.470738026333233,12.58491414757981,average,Support from staff,"
The support received from adults at school"
home_relationship_score,12.56,25.0,North Devon 002,515.0,20.0,12.062135922330096,0.7690831882903442,11.293052734039753,12.83121911062044,average,Support from parents/carers,"
The support received from adults at home"
home_happy_score,5.59375,32.0,North Devon 002,604.0,20.0,4.940397350993377,0.7549267302738673,4.18547062071951,5.695324081267245,average,Home environment,"
Young people's feelings regarding the home that they live in"
local_env_score,14.079365079365076,21.0,North Devon 002,355.0,20.0,14.885446009389671,0.7627055365027211,14.12274047288695,15.648151545892393,below,Local environment,"
How young people feel regarding the area where they live"
discrim_score,1.0588235294117647,34.0,North Devon 002,678.0,20.0,1.0147492625368733,0.020541714106175567,0.9942075484306977,1.035290976643049,above,Discrimination,"
Whether young people feel discriminated against"
belong_local_score,2.53125,32.0,North Devon 002,625.0,20.0,2.3456,0.19026053738039997,2.1553394626196,2.5358605373804,average,Local connection,"
Young people's feelings of belonging in their local area"
wealth_score,0.47619047619047616,21.0,North Devon 002,476.0,20.0,0.35714285714285715,0.07913462942572096,0.2780082277171362,0.4362774865685781,above,Relative wealth,"
Whether young people feel their family is richer, poorer or the same as their
friends"
future_score,6.357142857142857,14.0,North Devon 002,222.0,15.0,7.506756756756757,0.5563465223681503,6.950410234388607,8.063103279124908,below,Future opportunities,"
How young people feel regarding the future options for work, education or
training in their local area"
climate_score,2.909090909090909,33.0,North Devon 002,655.0,20.0,2.4885496183206106,0.17827857312780837,2.310271045192802,2.666828191448419,above,Climate change,"
Worries regarding climate change"
social_score,11.91304347826087,23.0,North Devon 002,441.0,20.0,11.884353741496598,0.4692186420598787,11.41513509943672,12.353572383556477,average,Support from friends,"
The support young people receive from their peers"
bully_score,7.0625,32.0,North Devon 002,643.0,20.0,7.514774494556765,0.3209338895886501,7.193840604968115,7.835708384145415,below,Bullying,"
The frequency with which young people experience different types of bullying"
autonomy_score,16.363636363636363,22.0,North Devon 003,426.0,20.0,17.85211267605634,0.7240076318941591,17.12810504416218,18.5761203079505,below,Autonomy,"
How 'in control' young people feel of their life"
life_satisfaction_score,4.942857142857143,35.0,North Devon 003,617.0,20.0,4.946515397082658,0.47982855277608544,4.466686844306572,5.426343949858744,average,Life satisfaction,"
How satisfied young people feel with their life"
optimism_score,12.052631578947368,38.0,North Devon 003,622.0,20.0,12.069131832797428,0.44645863215727216,11.622673200640156,12.5155904649547,average,Optimism,"
Young people's hopefulness and confidence for the future"
wellbeing_score,19.115384615384617,26.0,North Devon 003,466.0,20.0,21.006437768240342,0.939871527800999,20.066566240439343,21.946309296041342,below,Psychological wellbeing,"
How positive and generally happy young people feel regarding their life"
