cat,cat_lab,count,percentage,measure,n_responses,site,year_group_lab,gender_lab,fsm_lab,sen_lab,group,measure_lab
"[1, 2, 3, 4, 5, nan]","['1 - Completely not true', '2', '3', '4', '5 - Completely true', 'No response']","[140, 124, 144, 152, 146, 94]","[17.5, 15.5, 18.0, 19.0, 18.25, 11.75]",autonomy_pressure,800.0,Northern Devon,All,All,All,All,autonomy,"
I feel pressured in my life"
"[1, 2, 3, 4, 5, nan]","['1 - Completely not true', '2', '3', '4', '5 - Completely true', 'No response']","[159, 173, 145, 171, 139, 13]","[19.875, 21.625, 18.125, 21.375, 17.375, 1.625]",autonomy_express,800.0,Northern Devon,All,All,All,All,autonomy,"
I generally feel free to express my ideas and opinions"
"[1, 2, 3, 4, 5, nan]","['1 - Completely not true', '2', '3', '4', '5 - Completely true', 'No response']","[151, 130, 131, 155, 147, 86]","[18.875, 16.25, 16.375, 19.375, 18.375, 10.75]",autonomy_decide,800.0,Northern Devon,All,All,All,All,autonomy,"
I feel like I am free to decide for myself how to live my life"
"[1, 2, 3, 4, 5, nan]","['1 - Completely not true', '2', '3', '4', '5 - Completely true', 'No response']","[155, 142, 131, 131, 147, 94]","[19.375, 17.75, 16.375, 16.375, 18.375, 11.75]",autonomy_told,800.0,Northern Devon,All,All,All,All,autonomy,"
In my daily life I often have to do what I am told"
"[1, 2, 3, 4, 5, nan]","['1 - Completely not true', '2', '3', '4', '5 - Completely true', 'No response']","[144, 152, 148, 142, 145, 69]","[18.0, 19.0, 18.5, 17.75, 18.125, 8.625]",autonomy_myself,800.0,Northern Devon,All,All,All,All,autonomy,"
I feel I can pretty much be myself in daily situations"
"[1, 2, 3, 4, 5, nan]","['1 - Completely not true', '2', '3', '4', '5 - Completely true', 'No response']","[150, 185, 147, 162, 145, 11]","[18.75, 23.125, 18.375, 20.25, 18.125, 1.375]",autonomy_choice,800.0,Northern Devon,All,All,All,All,autonomy,"
I have enough choice about how I spend my time"
"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, nan]","['0 - not at all', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10 - completely', 'No response']","[43, 80, 65, 80, 65, 68, 58, 56, 76, 69, 65, 75]","[5.375, 10.0, 8.125, 10.0, 8.125, 8.5, 7.249999999999999, 7.000000000000001, 9.5, 8.625, 8.125, 9.375]",life_satisfaction,800.0,Northern Devon,All,All,All,All,life_satisfaction,"
Overall, how satisfied are you with your life nowadays?"
"[1, 2, 3, 4, 5, nan]","['Almost never', 'Sometimes', 'Often', 'Very often', 'Always', 'No response']","[148, 131, 143, 147, 177, 54]","[18.5, 16.375, 17.875, 18.375, 22.125, 6.75]",optimism_future,800.0,Northern Devon,All,All,All,All,optimism,"
I am optimistic about my future"
"[1, 2, 3, 4, 5, nan]","['Not at all like me', 'A little like me', 'Somewhat like me', 'Mostly like me', 'Very much like me', 'No response']","[160, 168, 161, 157, 150, 4]","[20.0, 21.0, 20.125, 19.625, 18.75, 0.5]",optimism_best,800.0,Northern Devon,All,All,All,All,optimism,"
In uncertain times, I expect the best"
"[1, 2, 3, 4, 5, nan]","['Not at all like me', 'A little like me', 'Somewhat like me', 'Mostly like me', 'Very much like me', 'No response']","[165, 161, 157, 141, 173, 3]","[20.625, 20.125, 19.625, 17.625, 21.625, 0.375]",optimism_good,800.0,Northern Devon,All,All,All,All,optimism,"
I think good things are going to happen to me"
