cat,cat_lab,count,percentage,measure,n_responses,site,year_group_lab,gender_lab,fsm_lab,measure_lab
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[15, 18, 18, 9]","[25.0, 30.0, 30.0, 15.0]",symbol_family,60.0,Northern Devon,All,All,All,How do you feel about your family?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[17, 31, 12, 0]","[28.333333333333332, 51.66666666666667, 20.0, 0.0]",symbol_home,60.0,Northern Devon,All,All,All,How do you feel about your home?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[16, 19, 19, 6]","[26.666666666666668, 31.666666666666664, 31.666666666666664, 10.0]",symbol_friends,60.0,Northern Devon,All,All,All,How do you feel about your friends?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[18, 15, 20, 7]","[30.0, 25.0, 33.33333333333333, 11.666666666666666]",symbol_choice,60.0,Northern Devon,All,All,All,How do you feel about how much choice you have in life?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[17, 20, 14, 9]","[28.333333333333332, 33.33333333333333, 23.333333333333332, 15.0]",symbol_things,60.0,Northern Devon,All,All,All,How do you feel about the things that you have?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[21, 23, 16, 0]","[35.0, 38.333333333333336, 26.666666666666668, 0.0]",symbol_health,60.0,Northern Devon,All,All,All,How do you feel about your health?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[18, 26, 13, 3]","[30.0, 43.333333333333336, 21.666666666666668, 5.0]",symbol_future,60.0,Northern Devon,All,All,All,How do you feel about your future?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[15, 17, 21, 7]","[25.0, 28.333333333333332, 35.0, 11.666666666666666]",symbol_school,60.0,Northern Devon,All,All,All,How do you feel about your school?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[15, 20, 18, 7]","[25.0, 33.33333333333333, 30.0, 11.666666666666666]",symbol_free,60.0,Northern Devon,All,All,All,How do you feel about your free time?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[19, 21, 16, 4]","[31.666666666666664, 35.0, 26.666666666666668, 6.666666666666667]",symbol_life,60.0,Northern Devon,All,All,All,How do you feel about your life?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_family,NULL,Northern Devon,Year 7,All,All,How do you feel about your family?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_home,NULL,Northern Devon,Year 7,All,All,How do you feel about your home?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_friends,NULL,Northern Devon,Year 7,All,All,How do you feel about your friends?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_choice,NULL,Northern Devon,Year 7,All,All,How do you feel about how much choice you have in life?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_things,NULL,Northern Devon,Year 7,All,All,How do you feel about the things that you have?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_health,NULL,Northern Devon,Year 7,All,All,How do you feel about your health?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_future,NULL,Northern Devon,Year 7,All,All,How do you feel about your future?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_school,NULL,Northern Devon,Year 7,All,All,How do you feel about your school?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_free,NULL,Northern Devon,Year 7,All,All,How do you feel about your free time?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_life,NULL,Northern Devon,Year 7,All,All,How do you feel about your life?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[4, 6, 5, 2]","[23.52941176470588, 35.294117647058826, 29.411764705882355, 11.76470588235294]",symbol_family,17.0,Northern Devon,Year 8,All,All,How do you feel about your family?
